Supplementary Table S1: List of all 576 raw LC-MS2 files processed in this study,,,,
,,,,
Source,Species,Tissue,LC-MS File,MSConvert to mzML
PXD050500,bread wheat,coleoptile,230301-RD-Germ-Trypsin-lys-cHPLC-4_30-2_Slot1-28_1_756.d,no
PXD050500,bread wheat,coleoptile,230301-RD-Germ-Trypsin-lys-cHPLC-5_30-1_Slot1-29_1_742.d,no
PXD050500,bread wheat,coleoptile,230301-RD-Germ-Trypsin-lys-cHPLC-5_30-2_Slot1-29_1_761.d,no
PXD050500,bread wheat,coleoptile,230301-RD-Germ-Trypsin-lys-cHPLC-6_30-1_Slot1-30_1_743.d,no
PXD050500,bread wheat,coleoptile,230301-RD-Germ-Trypsin-lys-cHPLC-6_30-2_Slot1-30_1_762.d,no
PXD050500,bread wheat,coleoptile,230301-RD-Germ-Trypsin-lys-cHPLC-7_30-1_Slot1-31_1_744.d,no
PXD050500,bread wheat,coleoptile,230301-RD-Germ-Trypsin-lys-cHPLC-7_30-2_Slot1-31_1_763.d,no
PXD050500,bread wheat,coleoptile,230301-RD-Germ-Trypsin-lys-cHPLC-8_30-1_Slot1-32_1_745.d,no
PXD050500,bread wheat,coleoptile,230301-RD-Germ-Trypsin-lys-cHPLC-8_30-2_Slot1-32_1_764.d,no
PXD050500,bread wheat,coleoptile,230301-RD-Germ-Trypsin-lys-cHPLC-9_30-1_Slot1-33_1_749.d,no
PXD050500,bread wheat,coleoptile,230301-RD-Germ-Trypsin-lys-cHPLC-9_30-2_Slot1-33_1_765.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-13_30-1_Slot1-37_1_772.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-13_30-2_Slot1-37_1_773.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-14_30-1_Slot1-38_1_774.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-14_30-2_Slot1-38_1_775.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-15_30-1_Slot1-39_1_776.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-15_30-2_Slot1-39_1_777.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-16_30-1_Slot1-40_1_778.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-16_30-2_Slot1-40_1_779.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-17_30-1_Slot1-41_1_783.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-17_30-2_Slot1-41_1_784.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-18_30-1_Slot1-42_1_785.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-18_30-2_Slot1-42_1_786.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-19_30-1_Slot1-43_1_787.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-19_30-2_Slot1-43_1_788.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-20_30-1_Slot1-44_1_789.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-20_30-2_Slot1-44_1_790.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-21_30-1_Slot1-45_1_796.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-21_30-2_Slot1-45_1_797.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-22_30-1_Slot1-46_1_798.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-22_30-2_Slot1-46_1_799.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-23_30-1_Slot1-47_1_800.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-23_30-2_Slot1-47_1_801.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-24_30-1_Slot1-48_1_807.d,no
PXD050500,bread wheat,coleoptile,230303-RD-Germ-Trypsin-lys-cHPLC-24_30-2_Slot1-48_1_808.d,no
PXD050500,bread wheat,coleoptile,230306-RD-Germ-Trypsin-lys-cHPLC-25_30-1_Slot1-49_1_809.d,no
PXD050500,bread wheat,coleoptile,230306-RD-Germ-Trypsin-lys-cHPLC-25_30-2_Slot1-49_1_810.d,no
PXD050500,bread wheat,coleoptile,230306-RD-Germ-Trypsin-lys-cHPLC-26_30-1_Slot1-50_1_811.d,no
PXD050500,bread wheat,coleoptile,230306-RD-Germ-Trypsin-lys-cHPLC-26_30-2_Slot1-50_1_812.d,no
PXD050500,bread wheat,coleoptile,230306-RD-Germ-Trypsin-lys-cHPLC-27_30-1_Slot1-51_1_813.d,no
PXD050500,bread wheat,coleoptile,230306-RD-Germ-Trypsin-lys-cHPLC-27_30-2_Slot1-51_1_814.d,no
PXD050500,bread wheat,coleoptile,230306-RD-Germ-Trypsin-lys-cHPLC-28_30-1_Slot1-52_1_818.d,no
PXD050500,bread wheat,coleoptile,230306-RD-Germ-Trypsin-lys-cHPLC-28_30-2_Slot1-52_1_819.d,no
PXD050500,bread wheat,coleoptile,230306-RD-Germ-Trypsin-lys-cHPLC-29_30-1_Slot1-53_1_820.d,no
PXD050500,bread wheat,coleoptile,230306-RD-Germ-Trypsin-lys-cHPLC-29_30-2_Slot1-53_1_821.d,no
PXD050500,bread wheat,coleoptile,230306-RD-Germ-Trypsin-lys-cHPLC-30_30-1_Slot1-54_1_822.d,no
PXD050500,bread wheat,coleoptile,230306-RD-Germ-Trypsin-lys-cHPLC-30_30-2_Slot1-54_1_823.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-10_30-1_Slot1-02_1_676.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-10_30-2_Slot1-02_1_677.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-11_30-1_Slot1-03_1_678.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-11_30-2_Slot1-03_1_679.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-12_30-1_Slot1-04_1_683.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-12_30-2_Slot1-04_1_684.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-1_30-2_Slot2-88_1_653.d,no
PXD050500,bread wheat,node,230221-RD-Node-Trypsin-lys-cHPLC-2_30-1_Slot2-89_1_654.d,no
