Annotation_confidence,Sampled_peptide_rows,Unique_peptides,Mean_peptide_length,Median_peptide_length,Mean_probability,Median_probability,Mean_charge,Median_charge
HC,3064,2891,13.698433420365536,12.0,0.8556520561357702,0.9989,2.45855091383812,2.0
LC,422,408,12.457345971563981,11.0,0.5867412322274882,0.6619999999999999,2.3199052132701423,2.0
