Annotation_confidence,Protein_isoforms,Mean_protein_length_aa,Median_protein_length_aa,Max_protein_length_aa,Mean_unique_peptides,Median_unique_peptides,Max_unique_peptides
HC,130182,450.4473167565409,383.0,5366.0,18.65242506644544,12.0,318
LC,147670,211.8997926457642,158.0,4979.0,5.392280083971016,4.0,217
