Input_BED_file,Original_rows,Retained_validated_rows,Removed_failed_rows,Percent_retained,Output_BED_file
Vincent_PXD004720_lemma_projected-peptides_annotation-proteogenomics_20260518.bed12,147618,146124,1494,98.9879,Vincent_PXD004720_lemma_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_lemma_projected-peptides_annotation-proteogenomics_20260518.bed6,147618,146124,1494,98.9879,Vincent_PXD004720_lemma_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_node_projected-peptides_annotation-proteogenomics_20260518.bed12,99823,98604,1219,98.7788,Vincent_PXD004720_node_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_node_projected-peptides_annotation-proteogenomics_20260518.bed6,99823,98604,1219,98.7788,Vincent_PXD004720_node_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_node_secretion_projected-peptides_annotation-proteogenomics_20260518.bed12,169675,167975,1700,98.9981,Vincent_PXD004720_node_secretion_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_node_secretion_projected-peptides_annotation-proteogenomics_20260518.bed6,169675,167975,1700,98.9981,Vincent_PXD004720_node_secretion_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_palea_projected-peptides_annotation-proteogenomics_20260518.bed12,116936,115679,1257,98.9251,Vincent_PXD004720_palea_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_palea_projected-peptides_annotation-proteogenomics_20260518.bed6,116936,115679,1257,98.9251,Vincent_PXD004720_palea_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_pericarp_projected-peptides_annotation-proteogenomics_20260518.bed12,131215,129960,1255,99.0436,Vincent_PXD004720_pericarp_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_pericarp_projected-peptides_annotation-proteogenomics_20260518.bed6,131215,129960,1255,99.0436,Vincent_PXD004720_pericarp_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_pollen_projected-peptides_annotation-proteogenomics_20260518.bed12,74698,73946,752,98.9933,Vincent_PXD004720_pollen_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_pollen_projected-peptides_annotation-proteogenomics_20260518.bed6,74698,73946,752,98.9933,Vincent_PXD004720_pollen_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_rachilla_projected-peptides_annotation-proteogenomics_20260518.bed12,160204,158608,1596,99.0038,Vincent_PXD004720_rachilla_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_rachilla_projected-peptides_annotation-proteogenomics_20260518.bed6,160204,158608,1596,99.0038,Vincent_PXD004720_rachilla_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_radicle_projected-peptides_annotation-proteogenomics_20260518.bed12,194694,193172,1522,99.2183,Vincent_PXD004720_radicle_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_radicle_projected-peptides_annotation-proteogenomics_20260518.bed6,194694,193172,1522,99.2183,Vincent_PXD004720_radicle_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_root_mature_projected-peptides_annotation-proteogenomics_20260518.bed12,97188,96110,1078,98.8908,Vincent_PXD004720_root_mature_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_root_mature_projected-peptides_annotation-proteogenomics_20260518.bed6,97188,96110,1078,98.8908,Vincent_PXD004720_root_mature_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_root_secretion_projected-peptides_annotation-proteogenomics_20260518.bed12,100639,99670,969,99.0372,Vincent_PXD004720_root_secretion_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_root_secretion_projected-peptides_annotation-proteogenomics_20260518.bed6,100639,99670,969,99.0372,Vincent_PXD004720_root_secretion_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_root_tip_projected-peptides_annotation-proteogenomics_20260518.bed12,191943,190638,1305,99.3201,Vincent_PXD004720_root_tip_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_root_tip_projected-peptides_annotation-proteogenomics_20260518.bed6,191943,190638,1305,99.3201,Vincent_PXD004720_root_tip_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_root_vasculature_projected-peptides_annotation-proteogenomics_20260518.bed12,111831,110808,1023,99.0852,Vincent_PXD004720_root_vasculature_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_root_vasculature_projected-peptides_annotation-proteogenomics_20260518.bed6,111831,110808,1023,99.0852,Vincent_PXD004720_root_vasculature_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_spike_immature_projected-peptides_annotation-proteogenomics_20260518.bed12,188826,187160,1666,99.1177,Vincent_PXD004720_spike_immature_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_spike_immature_projected-peptides_annotation-proteogenomics_20260518.bed6,188826,187160,1666,99.1177,Vincent_PXD004720_spike_immature_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_stem_projected-peptides_annotation-proteogenomics_20260518.bed12,60734,60162,572,99.0582,Vincent_PXD004720_stem_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_stem_projected-peptides_annotation-proteogenomics_20260518.bed6,60734,60162,572,99.0582,Vincent_PXD004720_stem_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD050500_coleoptile_projected-peptides_annotation-proteogenomics_20260518.bed12,1850136,1832405,17731,99.0416,Vincent_PXD050500_coleoptile_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD050500_coleoptile_projected-peptides_annotation-proteogenomics_20260518.bed6,1850136,1832405,17731,99.0416,Vincent_PXD050500_coleoptile_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD050500_node_projected-peptides_annotation-proteogenomics_20260518.bed12,1886922,1868501,18421,99.0238,Vincent_PXD050500_node_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD050500_node_projected-peptides_annotation-proteogenomics_20260518.bed6,1886922,1868501,18421,99.0238,Vincent_PXD050500_node_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD050500_radicle_projected-peptides_annotation-proteogenomics_20260518.bed12,1062508,1052392,10116,99.0479,Vincent_PXD050500_radicle_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD050500_radicle_projected-peptides_annotation-proteogenomics_20260518.bed6,1062508,1052392,10116,99.0479,Vincent_PXD050500_radicle_projected-peptides_annotation-proteogenomics_20260518.bed6
