Source,Species,Tissue,Batch,Projection_file,BED6_file,BED12_file,Rows_in_step11_sanity_file,Rows_passing_all_sanity_checks,Rows_excluded_by_sanity_checks,Rows_dropped_missing_BED_fields,BED_rows,Unique_BED_peptides,Unique_BED_proteins,Unique_BED_gene_models,Multi_block_peptides,Within_exon_peptides,Intron_spanning_BED_rows,Within_exon_BED_rows,Unique_intron_spanning_peptides,Unique_within_exon_peptides,BED_labels_with_introns,Percent_sanity_passed,Percent_exported_to_BED
PXD004720,bread wheat,leaf-flag-senescing,single,FragPipe_Duncan_PXD004720_leaf-flag-senescing_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_leaf-flag-senescing_validated_peptides.bed6,FragPipe_Duncan_PXD004720_leaf-flag-senescing_validated_peptides.bed12,45680,45680,0,0,45680,11204,25275,20842,4552,41128,4552,41128,1206,10079,2399,100.0,100.0
PXD004720,bread wheat,leaf-flag-young,single,FragPipe_Duncan_PXD004720_leaf-flag-young_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_leaf-flag-young_validated_peptides.bed6,FragPipe_Duncan_PXD004720_leaf-flag-young_validated_peptides.bed12,119922,119922,0,0,119922,23296,32180,25809,15181,104741,15181,104741,3482,20011,8950,100.0,100.0
PXD004720,bread wheat,lemma,single,FragPipe_Duncan_PXD004720_lemma_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_lemma_validated_peptides.bed6,FragPipe_Duncan_PXD004720_lemma_validated_peptides.bed12,146562,146562,0,0,146562,29653,37386,29915,21700,124862,21700,124862,4945,24927,12402,100.0,100.0
PXD004720,bread wheat,node,single,FragPipe_Duncan_PXD004720_node_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_node_validated_peptides.bed6,FragPipe_Duncan_PXD004720_node_validated_peptides.bed12,98731,98731,0,0,98731,21280,35794,29228,12726,86005,12726,86005,3047,18416,7081,100.0,100.0
PXD004720,bread wheat,node_secretion,single,FragPipe_Duncan_PXD004720_node-secretion_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_node-secretion_validated_peptides.bed6,FragPipe_Duncan_PXD004720_node-secretion_validated_peptides.bed12,168564,168564,0,0,168564,34026,41769,33166,22830,145734,22830,145734,5106,29193,13247,100.0,100.0
PXD004720,bread wheat,palea,single,FragPipe_Duncan_PXD004720_palea_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_palea_validated_peptides.bed6,FragPipe_Duncan_PXD004720_palea_validated_peptides.bed12,116285,116285,0,0,116285,21623,27295,21503,20637,95648,20637,95648,4574,17224,12073,100.0,100.0
PXD004720,bread wheat,pericarp,single,FragPipe_Duncan_PXD004720_pericarp_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_pericarp_validated_peptides.bed6,FragPipe_Duncan_PXD004720_pericarp_validated_peptides.bed12,130645,130645,0,0,130645,28184,32281,25580,20924,109721,20924,109721,4780,23621,11925,100.0,100.0
PXD004720,bread wheat,pollen,single,FragPipe_Duncan_PXD004720_pollen_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_pollen_validated_peptides.bed6,FragPipe_Duncan_PXD004720_pollen_validated_peptides.bed12,74334,74334,0,0,74334,13446,19731,15866,9467,64867,9467,64867,2046,11506,5323,100.0,100.0
PXD004720,bread wheat,rachilla,single,FragPipe_Duncan_PXD004720_rachilla_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_rachilla_validated_peptides.bed6,FragPipe_Duncan_PXD004720_rachilla_validated_peptides.bed12,159219,159219,0,0,159219,31008,36663,29020,24725,134494,24725,134494,5547,25706,14419,100.0,100.0
PXD004720,bread wheat,radicle,single,FragPipe_Duncan_PXD004720_radicle_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_radicle_validated_peptides.bed6,FragPipe_Duncan_PXD004720_radicle_validated_peptides.bed12,193938,193938,0,0,193938,39487,42476,33385,32434,161504,32434,161504,7023,32738,19023,100.0,100.0
PXD004720,bread wheat,root-mature,single,FragPipe_Duncan_PXD004720_root-mature_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_root-mature_validated_peptides.bed6,FragPipe_Duncan_PXD004720_root-mature_validated_peptides.bed12,96387,96387,0,0,96387,21125,38544,30952,10853,85534,10853,85534,2561,18716,6101,100.0,100.0
PXD004720,bread wheat,root-secretion,single,FragPipe_Duncan_PXD004720_root-secretion_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_root-secretion_validated_peptides.bed6,FragPipe_Duncan_PXD004720_root-secretion_validated_peptides.bed12,100085,100085,0,0,100085,21111,31657,25126,15505,84580,15505,84580,3464,17786,8962,100.0,100.0
PXD004720,bread wheat,root-tip,single,FragPipe_Duncan_PXD004720_root-tip_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_root-tip_validated_peptides.bed6,FragPipe_Duncan_PXD004720_root-tip_validated_peptides.bed12,191262,191262,0,0,191262,38496,39337,30508,34992,156270,34992,156270,7495,31236,21029,100.0,100.0
PXD004720,bread wheat,root-vasculature,single,FragPipe_Duncan_PXD004720_root-vasculature_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_root-vasculature_validated_peptides.bed6,FragPipe_Duncan_PXD004720_root-vasculature_validated_peptides.bed12,111315,111315,0,0,111315,20728,30323,23512,14786,96529,14786,96529,3150,17756,8152,100.0,100.0
PXD004720,bread wheat,spike-immature,single,FragPipe_Duncan_PXD004720_spike-immature_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_spike-immature_validated_peptides.bed6,FragPipe_Duncan_PXD004720_spike-immature_validated_peptides.bed12,188025,188025,0,0,188025,36236,39779,30611,33123,154902,33123,154902,7004,29483,19325,100.0,100.0
PXD004720,bread wheat,stem,single,FragPipe_Duncan_PXD004720_stem_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_stem_validated_peptides.bed6,FragPipe_Duncan_PXD004720_stem_validated_peptides.bed12,60181,60181,0,0,60181,14177,28948,23218,6927,53254,6927,53254,1668,12620,3963,100.0,100.0
