Original_file,Apollo_file,Source,Tissue,TrackType,Suffix
FragPipe_Duncan_PXD004720_grain-zadoks-87_validated_peptides.bed6,Vincent_PXD004720_grain_zadoks_87_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,grain_zadoks_87,annotation_validated,bed6
FragPipe_Duncan_PXD004720_leaf-flag-mature_validated_peptides.bed12,Vincent_PXD004720_leaf_flag_mature_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,leaf_flag_mature,annotation_validated,bed12
FragPipe_Duncan_PXD004720_leaf-flag-mature_validated_peptides.bed6,Vincent_PXD004720_leaf_flag_mature_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,leaf_flag_mature,annotation_validated,bed6
FragPipe_Duncan_PXD004720_leaf-flag-senescing_validated_peptides.bed12,Vincent_PXD004720_leaf_flag_senescing_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,leaf_flag_senescing,annotation_validated,bed12
FragPipe_Duncan_PXD004720_leaf-flag-senescing_validated_peptides.bed6,Vincent_PXD004720_leaf_flag_senescing_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,leaf_flag_senescing,annotation_validated,bed6
FragPipe_Duncan_PXD004720_leaf-flag-young_validated_peptides.bed12,Vincent_PXD004720_leaf_flag_young_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,leaf_flag_young,annotation_validated,bed12
FragPipe_Duncan_PXD004720_leaf-flag-young_validated_peptides.bed6,Vincent_PXD004720_leaf_flag_young_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,leaf_flag_young,annotation_validated,bed6
FragPipe_Duncan_PXD004720_lemma_validated_peptides.bed12,Vincent_PXD004720_lemma_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,lemma,annotation_validated,bed12
FragPipe_Duncan_PXD004720_lemma_validated_peptides.bed6,Vincent_PXD004720_lemma_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,lemma,annotation_validated,bed6
FragPipe_Duncan_PXD004720_node-secretion_validated_peptides.bed12,Vincent_PXD004720_node_secretion_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,node_secretion,annotation_validated,bed12
FragPipe_Duncan_PXD004720_node-secretion_validated_peptides.bed6,Vincent_PXD004720_node_secretion_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,node_secretion,annotation_validated,bed6
FragPipe_Duncan_PXD004720_node_validated_peptides.bed12,Vincent_PXD004720_node_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,node,annotation_validated,bed12
FragPipe_Duncan_PXD004720_node_validated_peptides.bed6,Vincent_PXD004720_node_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,node,annotation_validated,bed6
FragPipe_Duncan_PXD004720_palea_validated_peptides.bed12,Vincent_PXD004720_palea_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,palea,annotation_validated,bed12
FragPipe_Duncan_PXD004720_palea_validated_peptides.bed6,Vincent_PXD004720_palea_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,palea,annotation_validated,bed6
FragPipe_Duncan_PXD004720_pericarp_validated_peptides.bed12,Vincent_PXD004720_pericarp_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,pericarp,annotation_validated,bed12
FragPipe_Duncan_PXD004720_pericarp_validated_peptides.bed6,Vincent_PXD004720_pericarp_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,pericarp,annotation_validated,bed6
FragPipe_Duncan_PXD004720_pollen_validated_peptides.bed12,Vincent_PXD004720_pollen_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,pollen,annotation_validated,bed12
FragPipe_Duncan_PXD004720_pollen_validated_peptides.bed6,Vincent_PXD004720_pollen_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,pollen,annotation_validated,bed6
FragPipe_Duncan_PXD004720_rachilla_validated_peptides.bed12,Vincent_PXD004720_rachilla_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,rachilla,annotation_validated,bed12
FragPipe_Duncan_PXD004720_rachilla_validated_peptides.bed6,Vincent_PXD004720_rachilla_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,rachilla,annotation_validated,bed6
FragPipe_Duncan_PXD004720_radicle_validated_peptides.bed12,Vincent_PXD004720_radicle_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,radicle,annotation_validated,bed12
FragPipe_Duncan_PXD004720_radicle_validated_peptides.bed6,Vincent_PXD004720_radicle_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,radicle,annotation_validated,bed6
FragPipe_Duncan_PXD004720_root-mature_validated_peptides.bed12,Vincent_PXD004720_root_mature_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,root_mature,annotation_validated,bed12
FragPipe_Duncan_PXD004720_root-mature_validated_peptides.bed6,Vincent_PXD004720_root_mature_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,root_mature,annotation_validated,bed6
FragPipe_Duncan_PXD004720_root-secretion_validated_peptides.bed12,Vincent_PXD004720_root_secretion_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,root_secretion,annotation_validated,bed12
FragPipe_Duncan_PXD004720_root-secretion_validated_peptides.bed6,Vincent_PXD004720_root_secretion_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,root_secretion,annotation_validated,bed6
FragPipe_Duncan_PXD004720_root-tip_validated_peptides.bed12,Vincent_PXD004720_root_tip_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,root_tip,annotation_validated,bed12
FragPipe_Duncan_PXD004720_root-tip_validated_peptides.bed6,Vincent_PXD004720_root_tip_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,root_tip,annotation_validated,bed6
FragPipe_Duncan_PXD004720_root-vasculature_validated_peptides.bed12,Vincent_PXD004720_root_vasculature_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,root_vasculature,annotation_validated,bed12
FragPipe_Duncan_PXD004720_root-vasculature_validated_peptides.bed6,Vincent_PXD004720_root_vasculature_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,root_vasculature,annotation_validated,bed6
FragPipe_Duncan_PXD004720_spike-immature_validated_peptides.bed12,Vincent_PXD004720_spike_immature_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,spike_immature,annotation_validated,bed12
FragPipe_Duncan_PXD004720_spike-immature_validated_peptides.bed6,Vincent_PXD004720_spike_immature_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,spike_immature,annotation_validated,bed6
FragPipe_Duncan_PXD004720_stem_validated_peptides.bed12,Vincent_PXD004720_stem_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,stem,annotation_validated,bed12
FragPipe_Duncan_PXD004720_stem_validated_peptides.bed6,Vincent_PXD004720_stem_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,stem,annotation_validated,bed6
FragPipe_Liu_PXD050500_coleoptile_validated_peptides.bed12,Vincent_PXD050500_coleoptile_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD050500,coleoptile,annotation_validated,bed12
FragPipe_Liu_PXD050500_coleoptile_validated_peptides.bed6,Vincent_PXD050500_coleoptile_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD050500,coleoptile,annotation_validated,bed6
FragPipe_Liu_PXD050500_node_validated_peptides.bed12,Vincent_PXD050500_node_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD050500,node,annotation_validated,bed12
FragPipe_Liu_PXD050500_node_validated_peptides.bed6,Vincent_PXD050500_node_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD050500,node,annotation_validated,bed6
FragPipe_Liu_PXD050500_radicle_validated_peptides.bed12,Vincent_PXD050500_radicle_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD050500,radicle,annotation_validated,bed12
FragPipe_Liu_PXD050500_radicle_validated_peptides.bed6,Vincent_PXD050500_radicle_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD050500,radicle,annotation_validated,bed6
FragPipe_Vincent_MSV000090572_stored-grain_validated_peptides.bed12,Vincent_MSV000090572_stored_grain_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,MSV000090572,stored_grain,annotation_validated,bed12
FragPipe_Vincent_MSV000090572_stored-grain_validated_peptides.bed6,Vincent_MSV000090572_stored_grain_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,MSV000090572,stored_grain,annotation_validated,bed6
