Annotation_confidence,Peptide_support_bin,Gene_model_count,Median_unique_peptides,Mean_unique_peptides,Max_unique_peptides,Total_gene_models_with_peptide_support,Percent_within_confidence_class
HC,1 peptide,4130,1.0,1.0,1,104417,3.9553
HC,2–4 peptides,17259,3.0,3.0377773915058808,4,104417,16.5289
HC,5–9 peptides,26478,7.0,6.866719540750812,9,104417,25.3579
HC,≥10 peptides,56550,20.0,26.247303271441204,318,104417,54.1578
LC,1 peptide,24564,1.0,1.0,1,139147,17.6533
LC,2–4 peptides,59665,3.0,2.8597837928433756,4,139147,42.8791
LC,5–9 peptides,36992,6.0,6.479455017301038,9,139147,26.5848
LC,≥10 peptides,17926,13.0,16.557291085574025,217,139147,12.8828
